Kleavor,6,
Deoxys (Defense Forme),9
Espurr,3
Seel,3
Polteageist,6
Solrock,4
Porygon2,7
Regigigas,9
Jolteon,6
Crocalor,3
Thundurus (Incarnate Forme),9
Galarian Mr. Mime,5
Bunnelby,1
Baltoy,2
Karrablast,2
Carracosta,5
Spheal,1
Floatzel,5
Guzzlord,8
Dondozo,6,
Raticate,4,
Applin,1
Clefable,5
Pecharunt,9
Empoleon,6
Rabsca,5
Hisuian Samurott,7
Wartortle,4
Lotad,1
Sawk,5
Ceruledge,7
Boldore,4
Kingdra,7
Grimer,2
Staraptor (No Mega),6
Stufful,2
Solosis,1
Marowak,4
Thundurus (Therian Forme),9
Blastoise,7
Sizzlipede,2
Phantump,2
Dwebble,2
Galarian Moltres,8
Zebstrika,5
Lanturn,5
Oddish,2
Finneon,1
Flamigo,6
Sceptile,7
Yungoos,2
Jumpluff,5
Alolan Graveler,4
Slowpoke,3
Mow Rotom,6
Woobat,2
Eldegoss,4
Golisopod,6
Druddigon,6
Cyndaquil,2
Arctibax,4
Koffing,3
Furfrou,4
Mareep,2
Vanilluxe,5
Gastly,3
Great Tusk,9
Manaphy,8
Azurill,1
Capsakid,2
Seadra,3
Arctozolt,6
Meowstic (Female),5
Golurk (No Mega),5
Cranidos,3
Skorupi,2
Mandibuzz,6
Gholdengo (No nerf),8
Alolan Muk,5
Pidgey,1
Iron Jugulis,8
Jirachi,10
Sandy Shocks,8
Skiploom,4
Samurott,5
Timburr,2
Prinplup,3
Hisuian Zorua,3
Wooloo,1
Heat Rotom,7
Hydreigon,8
Beautifly,4
Deoxys (Attack Forme),10
Trapinch,2
Conkeldurr,7
Charmander,2
Dewott,3
Quagsire,5
Grafaiai,6
Porygon-Z,6
Pumpkaboo,3
Keldeo (Ordinary Form),9
Ferroseed,2
Incineroar,9
Skrelp,2
Toxapex,8
Fletchling,3
Perrserker,4
Trumbeak,3
Gliscor,6
Pelipper,8
Gourgeist (Super Size),5
Minior,5
Gorebyss,5
Oricorio (Pa'u Style),6
Stantler,6
Drapion,6
Linoone,4
Shiftry,6
Nidoking,6
Oricorio (Pom-Pom Style),7
Entei,9
Aerodactyl,7
Plusle,2
Herdier,3
Kabuto,1
Zweilous,4
Kartana,9
Bronzong,5
Regirock,8
Alomomola,6
Crustle,5
Vespiquen,4
Abomasnow,7
Zygarde (50% Forme),11
Barbaracle (no mega),6
Wo-Chien,8
Cubone,2
Dratini,2
Pichu,1
Lickilicky,5
Tauros (Aqua Breed),7
Vaporeon,6
Chewtle,2
Mr. Mime,6
Gossifleur,1
Shaymin (Land Forme),8
Dolliv,3
Baxcalibur,9
Girafarig,5
Mew,10
Ledian,4
Wattrel,3
Oricorio (Sensu Style),7
Boltund,5
Dhelmise,5
Vileplume,6
Alolan Geodude,3
Archeops,7
Nickit,2
Pawmot,7
Magmar,5
Lugia,10
Togekiss,7
Fidough,2
Dusclops,6
Spidops,4
Kubfu,4
Brute Bonnet,8
Meditite,3
Basculin (Blue-Striped Form),4
Galarian Yamask,2
Shroomish,2
Klawf,5
Machop,3
Sinistea,3
Frillish,3
Aggron,7
Zekrom,10
Carvanha,3
Croconaw,3
Houndour,3
Rhydon,5
Castform,5
Comfey,6
Regidrago,9
Clawitzer,6
Chien-Pao,11
Wynaut,2
Hisuian Avalugg,5
Probopass,5
Luvdisc,2
Pidgeotto,3
Walking Wake,10
Darkrai,10
Amaura,4
Fomantis,1
Breloom,6
Morgrem,6
Phanpy,2
